GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
onlineLearning,com.example.onlineLearning.learningPath.model,LearningPath,0,26,0,0,0,12,0,6,0,6
onlineLearning,com.example.onlineLearning.tracking.model,Tracking,0,36,0,0,0,16,0,8,0,8
onlineLearning,com.example.onlineLearning.quiz.controller,QuizController,0,13,0,0,0,3,0,3,0,3
onlineLearning,com.example.onlineLearning.enrollment.model,Enrollment,0,43,0,0,0,19,0,10,0,10
onlineLearning,com.example.onlineLearning.enrollment.model,Status,0,15,0,0,0,3,0,1,0,1
onlineLearning,com.example.onlineLearning.course.controller,CourseController,5,62,0,0,2,15,0,9,0,9
onlineLearning,com.example.onlineLearning.payment.controller,PaymentController,0,13,0,0,0,3,0,3,0,3
onlineLearning,com.example.onlineLearning.user.registration.token,ConfirmationToken,7,53,0,0,1,13,2,12,2,12
onlineLearning,com.example.onlineLearning.user.registration.token,ConfirmationTokenService,0,23,0,0,0,6,0,4,0,4
onlineLearning,com.example.onlineLearning.payment.model,Payment,0,26,0,0,0,12,0,6,0,6
onlineLearning,com.example.onlineLearning.payment.service,PaymentService,0,22,0,0,0,4,0,4,0,4
onlineLearning,com.example.onlineLearning.learningPath.service,LearningPathService,12,60,1,1,1,13,3,6,2,6
onlineLearning,com.example.onlineLearning.health,HealthController,0,5,0,0,0,2,0,2,0,2
onlineLearning,com.example.onlineLearning.user.email,EmailService,10,39,0,0,3,11,0,3,0,3
onlineLearning,com.example.onlineLearning.enrollment.controller,EnrollmentController,3,22,1,1,1,6,1,3,0,3
onlineLearning,com.example.onlineLearning.tracking.controller,TrackingController,0,8,0,0,0,2,0,2,0,2
onlineLearning,com.example.onlineLearning.user.security,PasswordEncoder,0,7,0,0,0,2,0,2,0,2
onlineLearning,com.example.onlineLearning.course.model,Course,0,73,0,0,0,31,0,16,0,16
onlineLearning,com.example.onlineLearning.user.security.config,WebSecurityConfig,124,0,0,0,22,0,6,0,6,0
onlineLearning,com.example.onlineLearning.quiz.service,QuizService,0,22,0,0,0,4,0,4,0,4
onlineLearning,com.example.onlineLearning.user.registration.model,RegistrationRequest,41,189,28,18,0,8,23,10,0,10
onlineLearning,com.example.onlineLearning.course.service,CourseService,0,131,0,4,0,30,0,10,0,8
onlineLearning,com.example.onlineLearning.user.appUser.service,AppUserService,0,85,0,2,0,15,0,6,0,5
onlineLearning,com.example.onlineLearning.user.appUser.model,AppUserRole,0,15,0,0,0,3,0,1,0,1
onlineLearning,com.example.onlineLearning.user.appUser.model,AppUser,105,418,53,35,0,40,47,29,4,28
onlineLearning,com.example.onlineLearning.user.appUser.model,ChangePassword,0,26,0,0,0,12,0,6,0,6
onlineLearning,com.example.onlineLearning.openAPI,OpenAPIConfig,0,13,0,0,0,3,0,2,0,2
onlineLearning,com.example.onlineLearning.user.registration.service,RegistrationService,94,225,18,16,22,52,18,11,3,9
onlineLearning,com.example.onlineLearning.user.registration.service,EmailValidator,0,5,0,0,0,2,0,2,0,2
onlineLearning,com.example.onlineLearning.learningPath.controller,LearningPathController,5,39,0,0,2,7,0,6,0,6
onlineLearning,com.example.onlineLearning.enrollment.service,EnrollmentService,0,55,0,6,0,13,0,6,0,3
onlineLearning,com.example.onlineLearning.user.registration.controller,RegistrationController,16,40,0,0,2,7,2,7,2,7
onlineLearning,com.example.onlineLearning.quiz.model,Quiz,0,46,0,0,0,20,0,10,0,10
onlineLearning,com.example.onlineLearning,OnlineLearningApplication,5,3,0,0,2,1,1,1,1,1
onlineLearning,com.example.onlineLearning.tracking.service,TrackingService,0,18,0,0,0,3,0,3,0,3
